config,ndcg@5,precision@5,recall@5,mrr
baseline,0.8951182168141745,0.34666666666666673,0.9222222222222223,0.9333333333333333
user_context,0.6749233740955255,0.26666666666666666,0.7444444444444444,0.6888888888888888
