endpoint,n,mean_ms,p50_ms,p95_ms,p99_ms
health,30,5.2626233333436785,5.180300000120042,6.578300000001036,6.687800000236166
recommendations,30,24.162823333335837,24.396400000114227,27.553000000352768,29.102699999839388
conversation,30,30.210270000073553,28.397300000051473,34.85430000000633,35.598400000253605
